"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
339,"Di Wu",27.8,1317.8,1259.3,"1277.5","1271.3","2016 Gwangju CH SF",24.6,1621.7
340,"Ivan Gakhov",22.6,1315.9,1189,"1286.2","-","2019 Fergana CH R16",22.6,1329.4
341,"Tak Khunn Wang",27.6,1315.2,1226.1,"1228.4","-","2019 Koblenz CH R32",27.3,1403.6
342,"Alessandro Bega",28.4,1311.8,1176.1,"1308.8","1439.5","2017 Recanati CH R16",26.5,1356.3
343,"Maverick Banes",27.2,1310.9,1252.3,"1240.0","1339.0","2019 Launceston CH R16",26.8,1437
344,"Ricardo Ojeda Lara",26.4,1303.8,1181.9,"1374.5","1309.8","2018 Australian Open Qual",25,1632.4
345,"Riccardo Bonadio",25.9,1298.7,1251.5,"1225.3","-","2019 Shymkent CH R16",25.9,1333.7
346,"Kevin King",28.2,1289.1,1208.6,"1229.6","1377.4","2017 Monterrey CH SF",26.6,1569.7
347,"Jc Aragone",24,1287.6,1348.5,"1067.2","1340.1","2018 Chicago CH QF",23.2,1552.6
348,"Evan Song",27,1277.8,1229,"1164.4","-","2018 Orlando CH R16",26.6,1388.4
349,"Denis Yevseyev",26.1,1269.4,1307.9,"1165.7","-","2019 Bangkok CH R32",25.7,1403.4
350,"Carlos Boluda Purkiss",26.4,1260.7,1245.5,"1177.8","-","2018 Karshi CH SF",25.3,1412.1
351,"Jelle Sels",23.9,1243.9,1240.6,"1214.4","1356.7","2018 Charlottesville CH QF",23.2,1404.1
352,"Alex Molcan",21.5,1239.9,1310.7,"1119.2","-","2018 Sevilla CH F",20.8,1455.7
353,"Juan Pablo Varillas Patino Samudio",23.7,1228.7,1114.5,"1225.1","-","2018 Liberec CH R16",22.8,1320.1
354,"Renta Tokuda",21.2,1223.4,1158.5,"-","-","2018 Gimcheon CH QF",20.1,1375.5
355,"Alexander Zhurbin",27.4,1220.4,1120.3,"1216.4","-","2019 Fergana CH R32",27.4,1243.7
356,"Yusuke Takahashi",21.6,1220.2,1191.5,"1156.7","-","2017 Zhangjiagang CH QF",19.9,1423.9
357,"Makoto Ochi",23.1,1175.4,1097.2,"1229.5","-","2018 Gwangju CH SF",22.3,1309.3
358,"Javier Barranco Cosano",20.5,1169.3,1155.4,"1090.0","-","2019 Shenzhen CH R32",20.3,1287.9
359,"Zihao Xia",22.3,1125.3,1116.1,"1053.7","-","2018 Gwangju CH R16",21.5,1279.3
360,"Ivan Nedelko",32.9,1079.4,1062.2,"1097.1","1277.6","2017 Almaty CH QF",31.4,1295.1
