"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
96,"Carlos Taberner",23.8,1706.8,"1329.0","1679.9","-",1517.9,1693.3,1553.4,"2021 Aix-En-Provence CH F",23.8,1706.8
97,"Stefano Travaglia",29.5,1701.9,"1600.9","1651.7","1453.1",1651.4,1676.8,1577.5,"2021 Great Ocean Road Open SF",29.1,1797.6
98,"Adrian Mannarino",33,1698.6,"1700.8","1440.8","1642.7",1699.7,1569.7,1670.6,"2018 Australian Open R64",29.5,1884.4
99,"Gilles Simon",36.5,1695.6,"1691.3","1556.1","1568.6",1693.4,1625.8,1632.1,"2009 Rotterdam R32",24.1,2015.9
100,"Kamil Majchrzak",25.4,1692.9,"1512.4","1582.8","1673.9",1602.7,1637.9,1683.4,"2019 Rome CH R16",23.3,1754.3
101,"Dusan Lajovic",30.9,1692.5,"1613.1","1644.2","1326.4",1652.8,1668.4,1509.4,"2018 Beijing R16",28.3,1845
102,"Facundo Bagnis",31.3,1691.2,"1336.8","1653.6","1197.0",1514,1672.4,1444.1,"2016 Marrakech R16",26.1,1713.4
103,"Jack Sock",28.7,1691,"1625.4","1690.8","1473.3",1658.2,1690.9,1582.2,"2017 Indian Wells QF",24.4,2037.1
104,"Bernabe Zapata Miralles",24.4,1688,"1463.3","1672.8","1360.4",1575.7,1680.4,1524.2,"2021 Heilbronn CH F",24.3,1718.2
105,"Taro Daniel",28.3,1683.1,"1556.9","1637.7","1331.9",1620,1660.4,1507.5,"2015 Prague CH R16",22.4,1745.8
106,"Juan Manuel Cerundolo",19.5,1683,"1150.2","1627.2","-",1416.6,1655.1,1541.5,"2021 Roland Garros Qual",19.5,1756.1
107,"Tomas Machac",20.7,1680.4,"1711.0","1492.1","1331.5",1695.7,1586.2,1505.9,"2021 Nur-Sultan 2 CH F",20.4,1773.9
108,"Egor Gerasimov",28.6,1679.1,"1695.3","1371.1","1202.5",1687.2,1525.1,1440.8,"2020 Davis Cup QLS R1",27.3,1791.2
109,"Roberto Carballes Baena",28.2,1678.4,"1500.6","1616.5","1311.3",1589.5,1647.4,1494.8,"2019 Queen's Club Qual",26.2,1749.7
110,"Andreas Seppi",37.3,1677.8,"1641.8","1534.9","1578.9",1659.8,1606.3,1628.3,"2013 Australian Open R32",28.9,1904.9
111,"Jiri Vesely",27.9,1673.8,"1641.3","1561.8","1642.9",1657.5,1617.8,1658.3,"2014 Wimbledon R64",21,1892.3
112,"Zizou Bergs",22,1668,"1629.0","1439.2","-",1648.5,1553.6,1534,"2021 Almaty CH R32",22,1717.4
113,"Daniel Elahi Galan",25,1667.2,"1453.4","1632.5","1396.3",1560.3,1649.8,1531.8,"2021 Roland Garros Qual",25,1692.6
114,"Benoit Paire",32.1,1666.6,"1611.7","1637.9","1559.2",1639.2,1652.3,1612.9,"2013 Roland Garros R64",24.1,1904.2
115,"Bjorn Fratangelo",27.9,1665.3,"1631.3","1537.7","1460.9",1648.3,1601.5,1563.1,"2017 Ilkley CH R16",23.9,1736.8
116,"Norbert Gombos",30.8,1665,"1553.1","1585.8","1453.0",1609,1625.4,1559,"2020 Paris R32",30.2,1737.6
117,"Denis Kudla",28.8,1663.1,"1575.7","1422.8","1623.1",1619.4,1542.9,1643.1,"2015 Atlanta Qual",22.9,1772.4
118,"Federico Coria",29.3,1662.7,"1320.8","1627.5","1302.6",1491.7,1645.1,1482.6,"2021 Prostejov CH F",29.3,1662.7
119,"Radu Albot",31.6,1662.1,"1598.7","1534.6","1425.2",1630.4,1598.4,1543.7,"2019 Geneva QF",29.5,1808.2
120,"Yannick Hanfmann",29.6,1661.2,"1449.1","1650.0","1430.4",1555.2,1655.6,1545.8,"2017 Gstaad SF",25.7,1763.9
121,"Thiago Monteiro",27,1660.1,"1551.7","1595.4","1441.9",1605.9,1627.7,1551,"2016 Bordeaux CH R32",21.9,1725.8
122,"Oscar Otte",27.9,1659.7,"1452.0","1610.3","1400.6",1555.9,1635,1530.1,"2017 Braunschweig CH QF",24,1703.8
123,"Kacper Zuk",22.4,1655.4,"1538.1","1541.1","-",1596.8,1598.2,1527.7,"2021 Prague CH R32",22.3,1737
124,"Alex Molcan",23.5,1653.4,"1450.4","1615.9","-",1551.9,1634.7,1526.7,"2021 Prostejov CH SF",23.5,1673.2
