"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
176,"Cagla Buyukakcay",31.7,1509.4,1398.7,1470.3,"1104.8",1454,1489.9,1307.1,"2016 Roland Garros Qual",26.7,1724.9
177,"Rebecca Sramkova",24.7,1507.9,1424.3,1410.1,"1399.3",1466.1,1459,1453.6,"2016 Biarritz $100K F",19.9,1684.1
178,"Grace Min",27.1,1507,1430.7,1431,"1328.1",1468.9,1469,1417.5,"2014 Bastad R32",20.2,1755
179,"Ekaterine Gorgodze",29.5,1506.8,1263,1453.1,"1480.6",1384.9,1480,1493.7,"2018 Biarritz $80K R32",26.8,1572.3
180,"Georgina Garcia Perez",29.1,1501.3,1389.5,1436.3,"1359.6",1445.4,1468.8,1430.4,"2018 Zagreb $60K R16",26.3,1664.5
181,"Lizette Cabrera",23.5,1500.8,1430.1,1175.8,"1314.8",1465.4,1338.3,1407.8,"2017 Taipei R16",19.9,1578
182,"Kristie Ahn",29,1497.9,1537.7,1249.6,"1415.2",1517.8,1373.7,1456.6,"2017 Wimbledon Qual",25,1751.7
183,"Arina Rodionova",31.5,1492.1,1439.6,1128.6,"1512.9",1465.8,1310.3,1502.5,"2017 Nanchang R16",27.6,1629.3
184,"Caroline Dolehide",22.8,1487.9,1475.2,1317.8,"1318.5",1481.5,1402.8,1403.2,"2018 Roland Garros Qual",19.7,1735
185,"Francesca Di Lorenzo",23.9,1487.3,1370.5,1421.7,"1310.9",1428.9,1454.5,1399.1,"2019 Us Open R128",22.1,1665
186,"Tereza Mrdeza",30.6,1487.1,1286.7,1421.2,"1174.6",1386.9,1454.1,1330.8,"2013 Monterrey R32",22.4,1661.2
187,"Alycia Parks",20.4,1486.9,1281.4,1362.9,"-",1384.2,1424.9,1418.5,"2021 W60 Charlottesville VA R16",20.3,1555.7
188,"Dalma Galfi",22.8,1486.7,1494.6,1323.4,"1290.2",1490.6,1405,1388.4,"2019 W60 La Bisbal D'Emporda SF",20.7,1614
