"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
24,"Jo Wilfried Tsonga",32.8,1879.6,1810.3,1786.8,1632.3,"2009 Indian Wells Masters R32",23.9,2170.8
25,"Karen Khachanov",22.1,1875.7,1734.6,1807.4,1688.2,"2017 Bastad QF",21.2,1907.2
26,"Pablo Carreno Busta",26.9,1856.3,1743.7,1779.7,1376.2,"2016 Basel R16",25.3,1933.7
27,"Philipp Kohlschreiber",34.7,1847.1,1745.4,1823.5,1592.3,"2009 Stuttgart R16",25.7,2002.3
28,"Lucas Pouille",24.3,1843.2,1822.9,1735,1652.2,"2016 Beijing R16",22.6,1996.1
29,"Gael Monfils",31.7,1842.3,1839.6,1700.7,1526.4,"2010 Paris Masters F",24.2,2061.4
30,"Alexandr Dolgopolov",29.5,1836.6,1760.6,1777.2,1635.1,"2011 Costa Do Sauipe F",22.3,1963.2
31,"David Ferrer",36.2,1832.8,1794.1,1840.6,1558.9,"2013 Acapulco F",30.9,2214.9
32,"Peter Gojowczyk",28.8,1828.5,1725.1,1684,1580.1,"2018 Delray Beach F",28.6,1892.3
33,"Stanislas Wawrinka",33.2,1827.2,1804,1850.5,1549.2,"2016 Australian Open R16",30.8,2136.5
34,"Feliciano Lopez",36.7,1822.7,1695.9,1735.1,1801.6,"2005 Marseille SF",23.4,1959
35,"Fernando Verdasco",34.6,1821.2,1728.1,1805.9,1608.9,"2010 Rome Masters SF",26.4,2109.1
36,"Steve Johnson",28.5,1821.2,1669.8,1811.1,1638.4,"2016 Cincinnati Masters QF",26.6,1926.9
37,"Sam Querrey",30.7,1820.7,1744.2,1636.2,1783.1,"2012 Paris Masters QF",25.1,1959.1
38,"Marco Cecchinato",25.7,1820.6,1345.6,1781,1483.6,"2018 Roland Garros SF",25.7,1832
39,"Jeremy Chardy",31.3,1815.7,1712.9,1722.1,1673.7,"2009 Gstaad QF",22.5,1929.8
40,"Martin Klizan",28.9,1815.7,1630,1807.8,1393.9,"2015 Barcelona SF",25.8,1895.6
41,"Radek Stepanek",38.1,1813.7,1735.1,1661.2,1648.8,"2009 Paris Masters SF",31,2021.8
42,"Marcos Baghdatis",32.9,1812.3,1785,1503,1668,"2006 Indian Wells Masters QF",20.7,2026.2
43,"Marton Fucsovics",26.3,1811.3,1602.3,1764.5,1430.7,"2018 Roland Garros R64",26.3,1835.6
44,"Benoit Paire",29.1,1810.9,1703.8,1714.8,1632.9,"2015 Tokyo F",26.4,1904.7
45,"Filip Krajinovic",26.1,1810.4,1790.1,1486.9,1476.8,"2018 Miami Masters R16",26.1,1817.7
46,"Stefanos Tsitsipas",19.8,1809.8,1575.8,1750.9,1527,"2018 Estoril SF",19.7,1917.8
47,"Denis Shapovalov",19.2,1806.9,1778.1,1747.9,1415.6,"2018 Roland Garros R64",19.1,1919.4
48,"Leonardo Mayer",31.1,1801.2,1698.1,1763.1,1560.5,"2014 Winston-Salem R32",27.3,1882.1
49,"Francis Tiafoe",20.4,1799.4,1774.8,1543.2,1572.2,"2018 Estoril F",20.3,1884.8
50,"Gilles Simon",33.5,1798.7,1738.8,1746.4,1618.1,"2009 Rotterdam R16",24.1,2031.2
51,"Andrey Rublev",20.5,1797.5,1710,1672.7,1544.3,"2018 Rotterdam QF",20.3,1925.8
52,"Dusan Lajovic",27.9,1797.1,1626.8,1764.5,1465.4,"2018 Roland Garros R64",27.9,1801.8
53,"Nicolas Almagro",32.1,1793.8,1645.6,1820.8,1505.2,"2012 Tokyo R32",27.1,2040.2
54,"Pablo Cuevas",32.4,1787.7,1653.8,1777.9,1545.8,"2016 Hamburg F",30.5,1900
55,"Julien Benneteau",36.5,1781.8,1727.2,1553.4,1587.4,"2013 Rotterdam F",31.1,1903.2
56,"Steve Darcis",33.7,1779.5,1695.3,1677.4,1594.4,"2012 Winston-Salem QF",28.4,1890.5
57,"Jack Sock",25.7,1771.2,1770.1,1684.6,1567.5,"2017 Indian Wells Masters SF",24.4,2032.3
58,"Damir Dzumhur",26.1,1769,1770.4,1569.7,1502.7,"2017 Shenzhen SF",25.3,1926.7
59,"Taylor Harry Fritz",20.6,1767.9,1728.7,1618,1377.1,"2018 Lyon QF",20.6,1849.9
60,"Guido Pella",28.1,1763.4,1625,1696.2,1510,"2016 Indian Wells Masters R32",25.8,1807.4
61,"Aljaz Bedene",28.9,1757.7,1606.1,1722.2,1569.3,"2018 Budapest SF",28.8,1841
62,"Albert Ramos",30.4,1753.4,1605.8,1742.3,1533.1,"2017 Barcelona QF",29.3,1879.3
63,"Adrian Mannarino",30,1752.7,1709.7,1521.9,1660.1,"2018 Australian Open R32",29.5,1876.3
64,"Andreas Seppi",34.3,1752.7,1718,1659.6,1637.9,"2005 Stuttgart QF",21.4,1903.4
65,"Joao Sousa",29.2,1752.7,1685.3,1698.1,1422.1,"2016 Australian Open R32",26.8,1859.9
66,"Daniil Medvedev",22.3,1751.4,1740.7,1429.6,1662.5,"2017 Washington QF",21.5,1920.4
67,"Jerzy Janowicz",26.9,1750.6,1669.9,1599,1645.4,"2013 Canada Masters R16",22.7,1959.1
68,"Simone Bolelli",32.6,1743.7,1563,1771.6,1600.7,"2008 Roland Garros R32",22.6,1933.3
69,"John Millman",29,1743.5,1697.2,1570.6,1473.9,"2016 Winston-Salem SF",27.2,1872.4
70,"Pierre Hugues Herbert",27.2,1738.6,1649.2,1630.7,1498.1,"2015 Winston-Salem F",24.4,1804.9
71,"Ryan Harrison",26.1,1737.8,1717.5,1503.6,1371.2,"2012 Indian Wells Masters R16",19.8,1827.5
72,"Tommy Robredo",36,1737.6,1684,1659.2,1480.6,"2009 Roland Garros QF",27.1,1995.7
