"Rank","Player","Age","Elo","Hard","Clay","Grass","Peak Match","Peak Age","Peak Elo"
104,"Anna Karolina Schmiedlova",24.7,1675.8,1531.8,1566.6,"1282.7","2015 Wuhan QF",21,1912.8
105,"Kristina Kucova",29.1,1675.4,1563.3,1570.2,"1243.7","2016 Dubai $100K R32",26.6,1714.6
106,"Aliona Bolsova",21.6,1672.6,1454.8,1612,"1314.8","2019 Mallorca Qual",21.6,1710.6
107,"Irina Camelia Begu",28.8,1670.3,1554,1662.2,"1357.1","2016 Roland Garros R16",25.7,1923.4
108,"Mihaela Buzarnescu",31.1,1669,1530.5,1531,"1499.5","2018 Montreal R64",30.3,1943.2
109,"Timea Babos",26.1,1664.8,1617.8,1493.1,"1444.0","2016 US Open R32",23.3,1849.5
110,"Kaja Juvan",18.6,1663.9,1299.2,1597.2,"1565.3","2019 Mallorca R32",18.6,1690.1
111,"Magda Linette",27.3,1663.7,1618.5,1430.3,"1465.1","2018 Taipei QF",26,1754.6
112,"Caty Mcnally",17.6,1662.3,1599.9,1347,"1506.3","2019 Indian Wells R128",17.3,1783.4
113,"Antonia Lottner",22.8,1657.9,1369.6,1599.1,"1508.9","2016 Japan Open Tokyo Qual",20.1,1694.4
114,"Vitalia Diatchenko",28.8,1654.6,1625.1,1439.7,"1561.9","2014 Dubai 75K SF",24.3,1803.7
115,"Luksika Kumkhum",25.9,1642.6,1633.6,1107.8,"1385.6","2013 Kuala Lumpur QF",19.6,1763.5
116,"Stefanie Voegele",29.3,1642.4,1586.4,1520.5,"1255.3","2014 Australian Open R64",23.8,1841.7
117,"Aleksandra Krunic",26.2,1641.6,1560.7,1534.9,"1612.4","2018 Brisbane QF",24.8,1789.3
118,"Elena Gabriela Ruse",21.6,1636.7,1468,1400.6,"1622.2","2018 Prague R16",20.5,1689.5
119,"Fiona Ferro",22.3,1636.5,1447.9,1568.6,"1337.4","2019 Strasbourg QF",22.2,1688.7
120,"Christina Mchale",27.1,1636.3,1591.8,1547.7,"1423.2","2012 Indian Wells R16",19.8,1947.6
121,"Paula Badosa",21.6,1633.5,1478.9,1543.2,"1432.7","2019 W60 Burnie F",21.2,1678.6
122,"Sachia Vickery",24.1,1631.9,1634.9,1348.1,"1398.4","2018 Monterrey SF",22.9,1725.6
123,"Pauline Parmentier",33.4,1630.9,1584.2,1519.2,"1191.8","2007 Bratislava 1 100K R16",21.7,1782
124,"Allie Kiick",23.9,1626.9,1480.4,1584.6,"1299.2","2018 Macon GA $80K SF",23.3,1622.7
125,"Yanina Wickmayer",29.7,1623.5,1585.2,1419.2,"1511.3","2010 Australian Open R16",20.2,2086.8
126,"Olga Govortsova",30.8,1622.7,1538.7,1508,"1510.8","2009 Moscow F",21.2,1846.5
127,"Ana Bogdan",26.5,1619.7,1512.8,1535.3,"1372.8","2018 New Haven R32",25.7,1776.4
128,"Whitney Osuigwe",17.2,1615.6,1574.8,1575.9,"1250.9","2019 W100 Bonita Springs FL SF",17.1,1761.2
129,"Johanna Larsson",30.8,1614.8,1531.2,1559.5,"1348.0","2011 Dallas QF",23,1828.8
130,"Jana Cepelova",26.1,1614.8,1606.6,1435.5,"1510.1","2014 Charleston F",20.8,1808.6
131,"Anna Kalinskaya",20.5,1614.3,1552.5,1498.3,"1461.1","2019 St. Petersburg Qual",20.2,1704.8
132,"Ivana Jorovic",22.1,1613.1,1651.3,1361.1,"1218.1","2019 Monterrey R16",21.9,1709
133,"Madison Brengle",29.2,1611.7,1558.5,1522,"1492.0","2016 Charleston R64",26,1829.6
134,"Nicole Gibbs",26.2,1610.1,1559.7,1401.4,"1338.4","2016 Miami R32",23,1786.2
135,"Astra Sharma",23.8,1606.5,1449.9,1493.6,"1382.4","2019 Strasbourg R16",23.7,1682.1
136,"Mandy Minella",33.5,1605.8,1512.8,1508.3,"1364.0","2017 Monterrey R16",31.4,1655.8
137,"Francoise Abanda",22,1600.4,1523,1472.6,"1401.3","2017 Quebec City QF",20.6,1678.3
138,"Lara Arruabarrena",27.1,1598.5,1406.1,1579.1,"1449.9","2013 Indian Wells R16",21,1791.6
139,"Veronica Cepede Royg",27.4,1597.5,1458.3,1551.9,"1444.0","2018 Acapulco QF",26.1,1713.7
140,"Francesca Di Lorenzo",21.9,1594.8,1543.5,1499.3,"1282.8","2019 Indian Wells 125K QF",21.6,1645.2
141,"Heather Watson",27.1,1588.7,1493.4,1486,"1503.3","2014 Eastbourne SF",22.1,1843
142,"Jasmine Paolini",23.4,1585.4,1355.8,1549,"1264.8","2019 W60 Brescia F",23.4,1575.6
143,"Rebecca Marino",28.4,1585.2,1476.4,1325.9,"1394.6","2011 Nassau 100K SF",20.2,1827.1
