"Rank","Player","Age","Elo","HardRaw","ClayRaw","GrassRaw","hElo","cElo","gElo","Peak Match","Peak Age","Peak Elo"
105,"Lauren Davis",28.7,1694.1,1622.4,1521.3,"1477.9",1658.3,1607.7,1586,"2017 Indian Wells R32",23.4,1901.2
106,"Bernarda Pera",27.5,1691.5,1540.9,1634.5,"1357.9",1616.2,1663,1524.7,"2018 Madrid R32",23.4,1825.7
107,"Anna Karolina Schmiedlova",27.7,1689.7,1586.8,1601.7,"1290.2",1638.2,1645.7,1489.9,"2015 Wuhan R16",21,1931.9
108,"Xiyu Wang",21.2,1682.9,1514,1611.6,"1432.8",1598.5,1647.3,1557.9,"2020 Acapulco QF",18.9,1773.6
109,"Olga Danilovic",21.4,1669.5,1572.8,1577.3,"1274.9",1621.1,1623.4,1472.2,"2018 US Open Qual",17.6,1799.6
110,"Nuria Parrizas Diaz",30.9,1668.5,1574.8,1569.6,"1382.4",1621.7,1619,1525.5,"2022 Monterrey QF",30.6,1755.3
111,"Kristyna Pliskova",29.5,1667.2,1569.9,1558.8,"1521.1",1618.5,1613,1594.1,"2018 Nurnberg R16",26.2,1811.4
112,"Varvara Lepchenko",35.2,1665.2,1542.8,1570.9,"1426.6",1604,1618.1,1545.9,"2015 Australian Open R64",28.7,1884.7
113,"Oceane Dodin",25.6,1661.7,1518.8,1578.5,"1431.7",1590.2,1620.1,1546.7,"2016 Limoges R32",20.1,1801.1
114,"Lucia Bronzetti",23.5,1654.3,1579.5,1518.2,"1362.0",1616.9,1586.3,1508.2,"2022 Rabat QF",23.4,1742.5
115,"Magdalena Frech",24.5,1653.7,1589.9,1546.1,"1414.8",1621.8,1599.9,1534.3,"2021 Indian Wells R128",23.8,1728.1
116,"Nina Stojanovic",25.5,1649.8,1540.7,1530.8,"1432.0",1595.3,1590.3,1540.9,"2019 W80 Poitiers F",23.2,1743.3
117,"Harmony Tan",24.8,1648.6,1597.9,1420.9,"1439.7",1623.2,1534.7,1544.1,"2022 Miami Qual",24.5,1733.1
118,"Kristina Mladenovic",29.1,1644.8,1584,1607.4,"1503.3",1614.4,1626.1,1574,"2017 Roland Garros R16",24,1984.3
119,"Harriet Dart",25.9,1644.6,1601.8,1373.6,"1456.4",1623.2,1509.1,1550.5,"2022 Indian Wells R32",25.6,1692.4
120,"Coco Vandeweghe",30.5,1644.6,1536.1,1533.7,"1657.6",1590.4,1589.1,1651.1,"2017 Zhuhai SF",25.9,1986.3
121,"Katie Volynets",20.4,1643.7,1438.7,1600.3,"1451.3",1541.2,1622,1547.5,"2022 Roland Garros R128",20.4,1682.9
122,"Arantxa Rus",31.5,1638.1,1546.5,1565.6,"1402.2",1592.3,1601.9,1520.2,"2011 Cuneo 100K SF",20.5,1768.8
123,"Linda Noskova",17.6,1637.6,1533,1539.8,"-",1585.3,1588.7,1493.8,"2022 Makarska 125 QF",17.5,1680.8
124,"Samantha Stosur",38.1,1637.2,1530.7,1665.9,"1473.6",1584,1651.5,1555.4,"2010 Roland Garros SF",26.1,2146.9
125,"Caty Mcnally",20.6,1630.5,1529.3,1302.9,"1560.6",1579.9,1466.7,1595.5,"2019 Indian Wells Qual",17.3,1799.3
126,"Heather Watson",30,1627.8,1582.6,1394.1,"1464.3",1605.2,1510.9,1546,"2014 Eastbourne QF",22.1,1922.2
127,"Misaki Doi",31.1,1627.6,1576.2,1440.3,"1447.6",1601.9,1533.9,1537.6,"2016 Stanford R16",25.2,1827.9
128,"Dalma Galfi",23.8,1627.2,1571.4,1482.1,"1416.6",1599.3,1554.6,1521.9,"2022 W80 Oeiras QF",23.6,1675.6
129,"Anna Blinkova",23.8,1625.6,1542.4,1517.9,"1467.5",1584,1571.7,1546.5,"2020 Shenzhen R32",21.3,1804.1
130,"Aleksandra Krunic",29.2,1620.6,1497.4,1581.2,"1523.6",1559,1600.9,1572.1,"2017 Tashkent R16",24.5,1810.1
131,"Storm Sanders",27.8,1619.9,1534.5,1455.7,"1424.9",1577.2,1537.8,1522.4,"2022 Adelaide 2 Qual",27.4,1693.3
132,"Hailey Baptiste",20.6,1617.6,1467.3,1531.5,"1457.2",1542.4,1574.5,1537.4,"2021 Chicago 125 R32",19.8,1689.7
133,"Mihaela Buzarnescu",34.1,1614.7,1553.8,1479.6,"1512.7",1584.2,1547.1,1563.7,"2018 Montreal R64",30.3,1971.9
134,"Tatjana Maria",34.8,1612.3,1535.3,1459.3,"1636.3",1573.8,1535.8,1624.3,"2009 Bronx NY [Main Draw only] 100K F",22,1780.4
135,"Sara Errani",35.1,1608.5,1534.6,1519.7,"1429.8",1571.5,1564.1,1519.1,"2013 Roland Garros QF",26.1,2078.9
136,"Kateryna Kozlova",28.3,1607.7,1574.5,1496.6,"1394.0",1591.1,1552.2,1500.9,"2016 Kreuzlingen $50K QF",22,1804
137,"Polona Hercog",31.3,1606.8,1522.2,1581,"1469.2",1564.5,1593.9,1538,"2009 Prague R32",18.5,1887.8
138,"Viktoria Kuzmova",24.1,1605.4,1600.3,1446.9,"1288.0",1602.9,1526.2,1446.7,"2018 s-Hertogenbosch QF",20.1,1886.7
139,"Fiona Ferro",25.2,1603.3,1543.3,1543.7,"1341.6",1573.3,1573.5,1472.4,"2021 Lyon QF",24,1845.8
140,"Vitalia Diatchenko",31.9,1601.1,1598.2,1333.6,"1453.9",1599.6,1467.3,1527.5,"2014 Dubai 75K QF",24.3,1826.8
141,"Greet Minnen",24.8,1600.8,1525.6,1444.7,"1458.6",1563.2,1522.7,1529.7,"2020 Doha Qual",22.5,1785.3
142,"Cristina Bucsa",24.4,1593.4,1562,1378.7,"1425.3",1577.7,1486.1,1509.4,"2022 W60 Croissy-Beaubourg R16",24.2,1632.7
143,"Fernanda Contreras Gomez",24.7,1592.3,1470.3,1556.2,"1426.9",1531.3,1574.3,1509.6,"2020 Fed Cup G1 PPO",22.3,1636.4
144,"Raluca Georgiana Serban",25,1583.8,1374.3,1481.5,"1372.3",1479,1532.7,1478,"2022 W60 Chiasso R16",24.8,1622.4
145,"Lin Zhu",28.4,1581.7,1582.8,1360.6,"1216.8",1582.2,1471.2,1399.2,"2019 W100 Shenzhen SF",25.8,1736.6
146,"Ysaline Bonaventure",27.8,1578.5,1552.1,1424.8,"1489.2",1565.3,1501.6,1533.8,"2019 Rabat R16",24.7,1778.8
147,"Diane Parry",19.8,1576.4,1299.9,1514.7,"1478.6",1438.2,1545.5,1527.5,"2022 Sydney Qual",19.4,1625.6
148,"Rebecca Sramkova",25.6,1574.3,1429.6,1507.2,"1404.9",1502,1540.8,1489.6,"2016 Biarritz $100K F",19.9,1682.7
149,"Anastasia Gasanova",23.1,1574.2,1437.7,1435.2,"1359.4",1506,1504.7,1466.8,"2021 St. Petersburg R16",21.8,1656.4
150,"Clara Burel",21.2,1573,1526.7,1480.9,"1498.0",1549.8,1526.9,1535.5,"2021 Lausanne SF",20.3,1799.3
151,"Christina Mchale",30,1572.6,1531.7,1444.1,"1387.3",1552.1,1508.4,1479.9,"2012 Indian Wells R32",19.8,1959.3
152,"Katarina Zavatska",22.3,1567.6,1455.1,1487.6,"1237.3",1511.4,1527.6,1402.5,"2019 W60 Las Vegas NV QF",19.7,1676.2
153,"Kristina Kucova",32,1567.2,1520.9,1458.7,"1233.0",1544,1512.9,1400.1,"2016 US Open Qual",26.3,1731.2
154,"Viktoriya Tomova",27.3,1565,1465.8,1486.9,"1357.9",1515.4,1526,1461.5,"2016 US Open Qual",21.5,1678.4
155,"Tamara Korpatsch",27.1,1561.1,1326.4,1478.4,"1357.3",1443.8,1519.8,1459.2,"2019 W60 Nantes SF",24.5,1661.3
156,"Irina Maria Bara",27.2,1560.4,1330,1487.7,"1288.4",1445.2,1524.1,1424.4,"2019 W60 Szekesfehervar SF",24.6,1638.4
157,"Kathinka Von Deichmann",28.1,1558.8,1508.9,1395.9,"1281.2",1533.9,1477.4,1420,"2022 Roland Garros Qual",28,1608.8
158,"Astra Sharma",26.8,1558.1,1522.7,1493.1,"1292.1",1540.4,1525.6,1425.1,"2019 Strasbourg R32",23.7,1701.8
159,"Tereza Smitkova",27.7,1557.6,1512.5,1396,"1456.7",1535.1,1476.8,1507.1,"2015 Australian Open R128",20.3,1808.4
160,"Ylena In Albon",23.3,1557.5,1367.9,1453.2,"1383.7",1462.7,1505.4,1470.6,"2019 W60 Kyoto F",20,1577.6
161,"Nastasja Mariana Schunk",18.8,1556.7,1223.6,1544.5,"1305.3",1390.1,1550.6,1431,"2022 W100 Wiesbaden SF",18.7,1623.2
162,"Francesca Jones",21.3,1555.9,1458.3,1527.9,"1139.1",1507.1,1541.9,1347.5,"2021 Phillip Island Trophy R64",20.4,1683.2
163,"Moyuka Uchijima",20.8,1555,1269.1,1552.7,"1279.1",1412.1,1553.8,1417.1,"2022 Roland Garros Qual",20.8,1614.1
164,"Eva Lys",20.4,1551.5,1309.8,1486.8,"1276.6",1430.7,1519.1,1414.1,"2022 Karlsruhe 125 R16",20.3,1666.2
165,"Sujeong Jang",27.3,1551.5,1180.5,1520.5,"1296.2",1366,1536,1423.8,"2022 BJK Cup G1 RR",27.1,1610.3
166,"Louisa Chirico",26,1550.6,1426.9,1462.5,"1232.2",1488.7,1506.5,1391.4,"2016 Madrid QF",20,1800.8
167,"Victoria Jimenez Kasintseva",16.8,1549.6,1443.4,1448,"-",1496.5,1498.8,1449.8,"2022 W100+H La Bisbal D'Emporda QF",16.7,1604
168,"Sara Bejlek",16.4,1548.6,1172,1535.1,"-",1360.3,1541.9,1449.3,"2021 W60 Prerov R32",15.6,1565.1
169,"Erika Andreeva",17.9,1547.9,1398,1437.1,"-",1472.9,1492.5,1449,"2022 W60 Biarritz QF",17.9,1594.6
170,"Aliona Bolsova",24.6,1545.8,1580.3,1397.7,"1236.9",1563,1471.8,1391.3,"2019 Mallorca Qual",21.6,1724.1
171,"Danielle Lao",31,1545.2,1509.4,1142.6,"1446.1",1527.3,1343.9,1495.6,"2018 Las Vegas NV $80K R16",27.4,1676.1
172,"Leolia Jeanjean",26.8,1542.3,1337.1,1424.3,"1382.1",1439.7,1483.3,1462.2,"2022 Berlin Qual",26.8,1546.3
173,"Julia Grabher",25.9,1539,1254.3,1473.3,"1322.1",1396.6,1506.2,1430.5,"2022 Valencia 125 R16",25.9,1550.2
174,"Maja Chwalinska",20.7,1538.9,1132.1,1490.3,"1366.1",1335.5,1514.6,1452.5,"2019 W60 Warsaw F",17.8,1621.3
175,"Alexa Glatch",32.1,1535,1500,1393.9,"1321.7",1517.5,1464.4,1428.4,"2011 Cincinnati Qual",21.9,1684.5
176,"Sachia Vickery",27,1533.5,1517,1310.4,"1355.8",1525.3,1421.9,1444.6,"2018 Monterrey QF",22.9,1742.5
177,"Anastasia Kulikova",22.3,1531,1554.6,1513.1,"1402.1",1542.8,1522,1466.5,"2021 W60 Vitoria-Gasteiz R16",21.4,1656.1
178,"Mandy Minella",36.6,1530.8,1523.4,1399.9,"1375.5",1527.1,1465.3,1453.1,"2017 Monterrey R32",31.4,1672.3
179,"Daria Snigur",20.2,1530.5,1435.7,1282.2,"1414.4",1483.1,1406.3,1472.4,"2022 W60 Altenkirchen SF",19.9,1586.7
180,"Mirjam Bjorklund",23.9,1529,1237.8,1500.2,"1278.3",1383.4,1514.6,1403.7,"2022 Valencia 125 QF",23.9,1575.8
181,"Nao Hibino",27.5,1526.5,1480,1387.6,"1307.4",1503.3,1457,1416.9,"2015 Tashkent F",20.8,1738.3
182,"Robin Anderson",29.2,1525.5,1500.4,1266.8,"1305.5",1512.9,1396.1,1415.5,"2019 W60 Croissy Beaubourg SF",25.9,1627.4
183,"Yuriko Miyazaki",26.6,1525.4,1442.7,1256.4,"1401.6",1484.1,1390.9,1463.5,"2022 W100 Ilkley R32",26.6,1566.3
184,"Jaimee Fourlis",22.7,1524.6,1282,1525.2,"1206.8",1403.3,1524.9,1365.7,"2019 Us Open Qual",19.9,1575.3
185,"Ekaterine Gorgodze",30.5,1523.5,1306.4,1476.6,"1458.1",1414.9,1500.1,1490.8,"2018 Biarritz $80K R32",26.8,1571.2
186,"Alycia Parks",21.4,1522.8,1469.1,1241.3,"1468.9",1496,1382.1,1495.9,"2021 W60 Charlottesville VA R16",20.3,1553.9
187,"Stefanie Voegele",32.3,1522.8,1500.1,1402,"1225.2",1511.4,1462.4,1374,"2013 Charleston QF",23.1,1845.3
188,"Kamilla Rakhimova",20.8,1521.2,1475.2,1420.9,"1318.6",1498.2,1471,1419.9,"2021 Belgrade R32",19.7,1700.8
189,"Priscilla Hon",24.1,1520.7,1493.2,1323.6,"1373.9",1506.9,1422.2,1447.3,"2019 W60 Bendigo QF",21.4,1662.5
190,"Elina Avanesyan",19.7,1520.2,1464.6,1448.1,"1311.9",1492.4,1484.2,1416.1,"2022 Rome Qual",19.6,1658.9
191,"Anna Lena Friedsam",28.4,1520.2,1436.2,1497.2,"1422.9",1478.2,1508.7,1471.5,"2016 Nurnberg R16",22.3,1831.2
192,"Petra Marcinko",16.5,1519.7,1230,1452.8,"-",1374.9,1486.2,1434.9,"2022 Rabat R32",16.4,1626.4
193,"Linda Fruhvirtova",17.1,1516.6,1474.6,1353.1,"1311.1",1495.6,1434.9,1413.8,"2022 Roland Garros Qual",17.1,1588.7
194,"Timea Babos",29.1,1516.4,1537.3,1363,"1373.4",1526.8,1439.7,1444.9,"2016 US Open R64",23.3,1869.4
195,"Lara Arruabarrena",29.8,1515.2,1426.5,1450.2,"1413.8",1470.8,1482.7,1464.5,"2013 Indian Wells R32",21,1814.9
