Rank,Player,Elo,HardRaw,ClayRaw,GrassRaw,hElo,cElo,gElo,myName
86,Jordan Thompson,1714.1,1664.6,1512.9,1543.0,1689.3,1613.5,1628.6,Thompson J.
87,Gianluca Mager,1711.8,1392.3,1649.6,1365.2,1552.1,1680.7,1538.5,Mager G.
88,Lucas Pouille,1711,1654.6,1675.7,1578.1,1682.8,1693.3,1644.6,Pouille L.
89,Steve Johnson,1710.7,1628.5,1622.4,1605.7,1669.6,1666.5,1658.2,Johnson S.
90,Pablo Andujar,1708.9,1457.7,1692.9,1253.6,1583.3,1700.9,1481.2,Andujar P.
91,Botic van de Zandschulp,1708.8,1644.7,1552.6,1308.5,1676.7,1630.7,1508.6,Zandschulp B.V.D.
92,Guido Pella,1708.7,1640.5,1680.3,1540.6,1674.6,1694.5,1624.7,Pella G.
93,Dominic Stephan Stricker,1708.5,1559.7,1418.6,1471.9,1634.1,1563.6,1590.2,Stricker D.S.
94,Emil Ruusuvuori,1707.8,1725.5,1329.4,1462.0,1716.6,1518.6,1584.9,Ruusuvuori E.
95,Nuno Borges,1707.2,-,1663.4,-,1463.6,1685.3,1553.6,Borges N.
96,Carlos Taberner,1706.8,1329.0,1679.9,-,1517.9,1693.3,1553.4,Taberner C.
97,Stefano Travaglia,1701.9,1600.9,1651.7,1453.1,1651.4,1676.8,1577.5,Travaglia S.
98,Adrian Mannarino,1698.6,1700.8,1440.8,1642.7,1699.7,1569.7,1670.6,Mannarino A.
99,Gilles Simon,1695.6,1691.3,1556.1,1568.6,1693.4,1625.8,1632.1,Simon G.
100,Kamil Majchrzak,1692.9,1512.4,1582.8,1673.9,1602.7,1637.9,1683.4,Majchrzak K.
101,Dusan Lajovic,1692.5,1613.1,1644.2,1326.4,1652.8,1668.4,1509.4,Lajovic D.
102,Facundo Bagnis,1691.2,1336.8,1653.6,1197.0,1514,1672.4,1444.1,Bagnis F.
103,Jack Sock,1691,1625.4,1690.8,1473.3,1658.2,1690.9,1582.2,Sock J.
104,Bernabe Zapata Miralles,1688,1463.3,1672.8,1360.4,1575.7,1680.4,1524.2,Miralles B.Z.
105,Taro Daniel,1683.1,1556.9,1637.7,1331.9,1620,1660.4,1507.5,Daniel T.
106,Juan Manuel Cerundolo,1683,1150.2,1627.2,-,1416.6,1655.1,1541.5,Cerundolo J.M.
107,Tomas Machac,1680.4,1711.0,1492.1,1331.5,1695.7,1586.2,1505.9,Machac T.
108,Egor Gerasimov,1679.1,1695.3,1371.1,1202.5,1687.2,1525.1,1440.8,Gerasimov E.
109,Roberto Carballes Baena,1678.4,1500.6,1616.5,1311.3,1589.5,1647.4,1494.8,Baena R.C.
110,Andreas Seppi,1677.8,1641.8,1534.9,1578.9,1659.8,1606.3,1628.3,Seppi A.
111,Jiri Vesely,1673.8,1641.3,1561.8,1642.9,1657.5,1617.8,1658.3,Vesely J.
112,Zizou Bergs,1668,1629.0,1439.2,-,1648.5,1553.6,1534,Bergs Z.
113,Daniel Elahi Galan,1667.2,1453.4,1632.5,1396.3,1560.3,1649.8,1531.8,Galan D.E.
114,Benoit Paire,1666.6,1611.7,1637.9,1559.2,1639.2,1652.3,1612.9,Paire B.
115,Bjorn Fratangelo,1665.3,1631.3,1537.7,1460.9,1648.3,1601.5,1563.1,Fratangelo B.
116,Norbert Gombos,1665,1553.1,1585.8,1453.0,1609,1625.4,1559,Gombos N.
117,Denis Kudla,1663.1,1575.7,1422.8,1623.1,1619.4,1542.9,1643.1,Kudla D.
118,Federico Coria,1662.7,1320.8,1627.5,1302.6,1491.7,1645.1,1482.6,Coria F.
119,Radu Albot,1662.1,1598.7,1534.6,1425.2,1630.4,1598.4,1543.7,Albot R.
120,Yannick Hanfmann,1661.2,1449.1,1650.0,1430.4,1555.2,1655.6,1545.8,Hanfmann Y.
121,Thiago Monteiro,1660.1,1551.7,1595.4,1441.9,1605.9,1627.7,1551,Monteiro T.
122,Oscar Otte,1659.7,1452.0,1610.3,1400.6,1555.9,1635,1530.1,Otte O.
123,Kacper Zuk,1655.4,1538.1,1541.1,-,1596.8,1598.2,1527.7,Zuk K.
124,Alex Molcan,1653.4,1450.4,1615.9,-,1551.9,1634.7,1526.7,Molcan A.
125,Francisco Cerundolo,1651.9,1383.4,1609.5,-,1517.6,1630.7,1525.9,Cerundolo F.
126,Michael Mmoh,1651.6,1582.5,1420.4,1383.3,1617.1,1536,1517.4,Mmoh M.
127,Andrey Kuznetsov,1648.4,1523.4,1659.6,1504.7,1585.9,1654,1576.6,Kuznetsov A.
128,James Duckworth,1647.1,1573.4,1432.7,1501.0,1610.2,1539.9,1574,Duckworth J.
129,Benjamin Bonzi,1646.6,1586.2,1459.7,1624.9,1616.4,1553.2,1635.7,Bonzi B.
130,Mario Vilella Martinez,1644.9,1506.7,1565.1,1339.0,1575.8,1605,1491.9,Martinez M.V.
131,Tennys Sandgren,1643.4,1553.2,1534.3,1585.4,1598.3,1588.8,1614.4,Sandgren T.
132,Juan Pablo Varillas,1642.5,1143.0,1608.8,-,1392.7,1625.7,1521.3,Varillas J.P.
133,Cedrik Marcel Stebe,1642.4,1588.4,1551.3,1445.6,1615.4,1596.9,1544,Stebe C.M.
134,Nicolas Kicker,1640.1,1406.7,1600.5,1297.8,1523.4,1620.3,1469,Kicker N.
135,Henri Laaksonen,1639.2,1487.7,1588.8,1261.5,1563.5,1614,1450.3,Laaksonen H.
136,Christopher O'Connell,1637,1542.7,1518.4,1416.9,1589.9,1577.7,1527,O'connell C.
137,Matthew Ebden,1632.4,1573.5,1297.2,1581.2,1603,1464.8,1606.8,Ebden M.
138,Damir Dzumhur,1630.6,1554.0,1560.1,1601.3,1592.3,1595.4,1616,Dzumhur D.
139,Mikhail Kukushkin,1629.4,1598.8,1517.5,1494.8,1614.1,1573.5,1562.1,Kukushkin M.
140,Viktor Troicki,1629.3,1519.4,1553.3,1641.5,1574.3,1591.3,1635.4,Troicki V.
141,Nicolas Jarry,1628.4,1486.6,1685.3,1494.0,1557.5,1656.8,1561.2,Jarry N.
142,Dennis Novak,1626.4,1591.0,1489.7,1601.5,1608.7,1558.1,1614,Novak D.
143,Peter Gojowczyk,1624.2,1577.1,1436.7,1574.6,1600.7,1530.4,1599.4,Gojowczyk P.
144,Salvatore Caruso,1622.1,1568.1,1541.8,1499.3,1595.1,1582,1560.7,Caruso S.
145,Gregoire Barrere,1615.6,1604.1,1439.4,1497.9,1609.9,1527.5,1556.8,Barrere G.
146,Tomas Martin Etcheverry,1605.1,1154.2,1556.8,-,1379.7,1580.9,1502.5,Etcheverry T.M.
147,Felipe Meligeni Rodrigues Alves,1603.7,1271.9,1549.2,-,1437.8,1576.5,1501.9,Alves F.M.R.
148,Nikola Milojevic,1602.9,1434.5,1560.1,1303.4,1518.7,1581.5,1453.1,Milojevic N.
149,Elias Ymer,1602.1,1464.6,1546.5,1335.0,1533.3,1574.3,1468.6,Ymer E.
150,Hugo Gaston,1602,1486.2,1514.6,1500.0,1544.1,1558.3,1551,Gaston H.
